id,SALES,IT ORGANIZATION,IT LABOUR,IT STOCK,FIREWALL,SIZE,AGE,LABOUR,CAPITAL,MATERIAL,NOT,ERP,CRM,BOTH
700,16.3791,0,0.0184211,1.609438,0,2,3.295837,6.697034,12.95797,16.22693,1,0,0,0
704,16.53531,0,0.6849315,3.970292,1,1,3.555348,4.29046,15.76723,15.94548,0,1,0,0
705,16.19976,0,0.4285714,3.555348,1,1,2.772589,4.060443,18.53465,15.4233,1,0,0,0
706,17.8164,0,1,2.197225,0,0,2.302585,1.386294,10.72452,17.51009,1,0,0,0
707,14.84584,0,0.6363636,1.791759,0,0,1.609438,2.397895,13.83479,14.32864,1,0,0,0
708,18.51734,1,0.8,5.438079,1,2,2.890372,5.375278,15.77784,18.4312,1,0,0,0
709,15.72784,0,0.4347826,2.484907,0,0,2.079442,3.332205,16.77636,15.04563,0,1,0,0
710,18.09327,0,0.6410257,4.521789,0,1,2.944439,4.941642,15.81911,18.01064,1,0,0,0
711,15.34793,0,0.8,3.091043,0,0,1.609438,2.995732,15.14033,15.14605,1,0,0,0
712,16.68779,0,0.8163266,4.70048,0,1,1.609438,4.644391,16.44312,16.30017,0,0,0,1
713,18.28626,0,0.1666667,4.70048,1,2,2.302585,7.803435,18.42761,17.6441,0,0,0,1
716,15.29092,0,0.6666667,1.791759,0,1,2.079442,4.127134,13.8432,15.19184,1,0,0,0
717,19.40235,1,0.0192308,6.2186,1,2,3.78419,7.521318,20.12831,18.29909,0,0,1,0
718,18.27903,1,0.4666667,6.956545,0,2,1.94591,5.480639,16.22267,18.1713,0,1,0,0
719,17.59953,1,0.26,4.75359,1,2,2.995732,6.018593,18.57644,17.49038,0,0,0,1
720,17.00105,0,0.9892473,4.941642,1,1,3.610918,4.521789,17.52414,16.75523,1,0,0,0
723,16.86918,0,1,5.480639,0,1,1.791759,4.127134,16.84613,16.82101,1,0,0,0
725,17.36931,1,0.8888889,3.044523,1,0,0.6931472,3.091043,15.77282,17.19401,0,1,0,0
726,16.12521,0,0.14,2.079442,0,1,2.484907,3.970292,14.05894,16.03026,1,0,0,0
727,15.99612,0,0.1052632,2.995732,0,0,1.098612,3.091043,13.46679,15.66771,0,0,0,1
732,17.88116,1,0.0083333,6.142037,1,2,3.295837,6.466145,16.0548,17.72275,0,1,0,0
733,14.53883,0,0.05,1.609438,0,1,3.258096,4.624973,11.79458,14.4338,1,0,0,0
735,18.90977,1,0.93,6.887553,1,2,3.637586,7.064759,16.87114,18.74211,0,1,0,0
738,16.67002,0,0.6,1.94591,0,0,2.564949,2.397895,15.05579,16.62389,1,0,0,0
739,16.67439,0,1,2.70805,0,0,1.94591,2.70805,15.71288,16.47788,0,0,0,1
741,16.57207,1,0.1230769,3.828641,0,1,3.7612,4.248495,18.348,16.32145,0,0,0,1
742,15.93357,0,0.16,3.951244,0,1,2.564949,4.060443,15.64999,14.866,0,0,0,1
743,16.57092,0,0,4.094345,0,1,2.833213,4.70048,15.0169,16.46601,1,0,0,0
745,15.92822,1,0.8163266,3.637586,1,1,1.791759,4.634729,18.50429,15.1231,0,0,0,1
748,17.39941,0,0.6666667,3.7612,0,1,1.94591,4.744932,16.33974,16.79503,0,0,0,1
749,15.22299,0,1,3.401197,0,1,1.609438,4.59512,13.28573,14.93354,0,0,0,1
750,15.75938,1,0.8571429,4.248495,1,1,2.397895,3.89182,15.80894,15.25262,1,0,0,0
754,17.58607,0,1,1.098612,0,0,1.386294,2.302585,13.16953,17.43113,0,0,0,1
755,15.13479,0,1,4.828314,1,1,2.639057,3.951244,14.82451,14.99981,0,1,0,0
756,16.77827,0,1,4.007333,0,1,2.079442,4.127134,16.94655,16.28708,1,0,0,0
757,16.89581,1,1,5.135798,0,2,2.302585,5.198497,14.9248,16.66573,0,0,0,1
758,18.21919,1,0.812844,6.993933,1,2,2.397895,6.749931,14.76367,15.16414,0,0,0,1
763,17.45444,1,0.5583757,5.451038,0,2,2.639057,5.894403,16.24533,17.32595,1,0,0,0
766,16.33409,0,0.6,1.791759,0,0,1.609438,1.94591,11.41532,16.38486,0,0,0,1
767,15.43293,0,0.6363636,2.302585,0,0,1.94591,2.397895,17.30898,15.3352,1,0,0,0
768,13.96437,0,0.8461539,2.772589,0,0,1.386294,2.564949,11.34839,13.65187,1,0,0,0
770,15.84829,1,0.6083333,4.787492,1,1,1.791759,3.912023,12.79202,15.60471,0,0,0,1
772,15.86254,1,0.8823529,4.248495,1,1,1.609438,4.510859,14.95381,14.62525,0,0,0,1
773,15.18161,0,0.4383562,3.496508,0,1,2.70805,4.276666,13.1949,14.50654,1,0,0,0
774,15.8532,1,0.1666667,3.688879,0,1,3.465736,4.820282,17.10716,15.12327,0,0,0,1
775,16.84418,0,0.3409091,2.833213,0,1,1.609438,4.510859,14.91251,16.72696,0,0,0,1
776,16.14675,0,0.6315789,4.043051,1,1,2.079442,4.49981,17.24086,14.617,0,0,0,1
778,17.63662,1,0.9857143,6.523562,1,2,2.484907,6.603944,15.58708,17.68821,1,0,0,0
779,17.67124,0,1,2.484907,0,0,1.098612,1.94591,15.73592,17.39308,0,1,0,0
780,14.2346,0,1,2.995732,0,0,2.079442,1.791759,12.47282,13.46309,1,0,0,0
781,17.09739,0,1,1.609438,0,0,0.6931472,1.386294,9.650723,17.05165,0,0,0,1
782,15.68099,0,1,3.828641,0,0,1.791759,4.204693,13.48978,15.33108,0,0,0,1
786,16.72941,0,0.7288136,4.025352,0,1,2.079442,4.343805,16.57798,15.7261,1,0,0,0
787,17.26177,1,0.7142857,3.433987,1,1,3.401197,5.111988,17.94934,16.65644,0,0,0,1
788,16.69625,0,0.5882353,5.828946,0,2,2.302585,5.723585,15.82141,16.53977,0,0,0,1
790,19.42278,1,1,7.560081,1,2,3.401197,7.51915,17.98397,19.13719,0,1,0,0
792,16.75919,0,1,2.484907,0,0,1.94591,2.302585,12.39979,16.6585,1,0,0,0
793,17.68462,0,0.4285714,1.098612,0,0,1.791759,2.302585,16.11345,17.46294,1,0,0,0
794,17.91688,0,1,1.94591,0,0,1.098612,2.302585,12.19867,17.79286,1,0,0,0
795,16.27286,0,0.8461539,2.639057,0,0,2.564949,2.995732,16.0528,15.77184,1,0,0,0
796,16.6,0,0.6,1.791759,0,0,1.791759,1.609438,9.834084,16.39829,0,0,0,1
797,15.63098,0,1,2.772589,0,0,1.609438,3.091043,11.71062,15.7216,1,0,0,0
799,16.56123,0,1,2.079442,0,1,2.995732,4.584968,16.06653,16.09831,0,0,0,1
